model_layer,pearson,kendall
bert-base-multilingual-cased_layer_0,0.5479281448590975,0.3968673895733157
bert-base-multilingual-cased_layer_1,0.5415225071464069,0.3890086293837451
bert-base-multilingual-cased_layer_2,0.5512538147896121,0.391628216113602
bert-base-multilingual-cased_layer_3,0.5531422082504465,0.39752228625577996
bert-base-multilingual-cased_layer_4,0.5642497754755428,0.4047261497628863
bert-base-multilingual-cased_layer_5,0.5758513274352731,0.406690839810279
bert-base-multilingual-cased_layer_6,0.5722425757491338,0.4145495999998495
bert-base-multilingual-cased_layer_7,0.545913738804319,0.40734573649274314
bert-base-multilingual-cased_layer_8,0.5299036053428416,0.3863890426538882
bert-base-multilingual-cased_layer_9,0.4728633107782835,0.3654323488150333
bert-base-multilingual-cased_layer_10,0.42061829408103696,0.33661689478660767
bert-base-multilingual-cased_layer_11,0.37844695579377363,0.3091112341231106
xlm-mlm-100-1280_layer_0,0.5834768938798587,0.3831145592415671
xlm-mlm-100-1280_layer_1,0.5958246308461714,0.37787538578185337
xlm-mlm-100-1280_layer_2,0.5923351863482037,0.37067152227474703
xlm-mlm-100-1280_layer_3,0.5818497261453285,0.37722048909938916
xlm-mlm-100-1280_layer_4,0.5846398966438731,0.385734145971424
xlm-mlm-100-1280_layer_5,0.6054180348001975,0.40210656303302944
xlm-mlm-100-1280_layer_6,0.6152596885422154,0.3968673895733157
xlm-mlm-100-1280_layer_7,0.5903159262138561,0.39490269952592305
xlm-mlm-100-1280_layer_8,0.5850413801298677,0.4060359431278147
xlm-mlm-100-1280_layer_9,0.5951946014743407,0.39527736489711485
xlm-mlm-100-1280_layer_10,0.5977681549643569,0.39228311279606615
xlm-mlm-100-1280_layer_11,0.5976504869207419,0.38376945592403133
xlm-mlm-100-1280_layer_12,0.6109266333762504,0.3791851791467818
xlm-mlm-100-1280_layer_13,0.623284826948085,0.39752228625577996
xlm-mlm-100-1280_layer_14,0.6223930869060026,0.3942478028434588
xlm-mlm-100-1280_layer_15,0.6231237589916024,0.39490269952592305
distilbert-base-multilingual-cased_layer_0,0.5340075576206759,0.38769883601881666
distilbert-base-multilingual-cased_layer_1,0.5244417803796244,0.38769883601881666
distilbert-base-multilingual-cased_layer_2,0.526062523312051,0.3896635260662093
distilbert-base-multilingual-cased_layer_3,0.507218475901499,0.4047261497628863
distilbert-base-multilingual-cased_layer_4,0.4763219181961108,0.41258490995245695
distilbert-base-multilingual-cased_layer_5,0.432549935357642,0.4060359431278147
xlm-roberta-base_layer_0,0.5849811898972239,0.39752228625577996
