model_layer,pearson,kendall
bert-base-multilingual-cased_layer_0,0.6592890155606603,0.4508482491041874
bert-base-multilingual-cased_layer_1,0.6758004047501953,0.4555527525731007
bert-base-multilingual-cased_layer_2,0.6777025903048868,0.4549496111027272
bert-base-multilingual-cased_layer_3,0.6924956107666557,0.46785683856871996
bert-base-multilingual-cased_layer_4,0.7051889382782984,0.4720788288613344
bert-base-multilingual-cased_layer_5,0.7157730395493652,0.4743707664487537
bert-base-multilingual-cased_layer_6,0.7116699570978914,0.4755770493895007
bert-base-multilingual-cased_layer_7,0.7215686766528803,0.4982551686755441
bert-base-multilingual-cased_layer_8,0.7208971788997838,0.4977726554992453
bert-base-multilingual-cased_layer_9,0.7193136896906505,0.4923443822658839
bert-base-multilingual-cased_layer_10,0.6827183710639152,0.449400709575291
bert-base-multilingual-cased_layer_11,0.6620922778396767,0.4239481395255295
xlm-mlm-100-1280_layer_0,0.6870192488746869,0.49282689544218267
xlm-mlm-100-1280_layer_1,0.7025659800432333,0.4948775764414525
xlm-mlm-100-1280_layer_2,0.7092995667691308,0.4982551686755441
xlm-mlm-100-1280_layer_3,0.7084146457355418,0.5024771589681586
xlm-mlm-100-1280_layer_4,0.7113487751495045,0.5039246984970549
xlm-mlm-100-1280_layer_5,0.7151930772903768,0.5058547512022502
xlm-mlm-100-1280_layer_6,0.7119620025476442,0.5005471062629634
xlm-mlm-100-1280_layer_7,0.7021705371531183,0.4869161090325224
xlm-mlm-100-1280_layer_8,0.6990029744238673,0.48016092456433923
xlm-mlm-100-1280_layer_9,0.6865097473046021,0.4709931742146621
xlm-mlm-100-1280_layer_10,0.6747374652696919,0.4516926471627103
xlm-mlm-100-1280_layer_11,0.6864873441565966,0.4602572560420139
xlm-mlm-100-1280_layer_12,0.6862120895912371,0.4507276208101127
xlm-mlm-100-1280_layer_13,0.6930764500574252,0.46242856533535853
xlm-mlm-100-1280_layer_14,0.7034610173326041,0.4672536970983464
xlm-mlm-100-1280_layer_15,0.6876637523023305,0.4561558940434741
distilbert-base-multilingual-cased_layer_0,0.651746420188115,0.4460231173411994
distilbert-base-multilingual-cased_layer_1,0.6784461328110784,0.4543464696323537
distilbert-base-multilingual-cased_layer_2,0.688367183015293,0.45482898280865247
distilbert-base-multilingual-cased_layer_3,0.6987253847805087,0.46351421998203085
distilbert-base-multilingual-cased_layer_4,0.6986370807838254,0.466650555627973
distilbert-base-multilingual-cased_layer_5,0.6479759147371015,0.43299526158113194
xlm-roberta-base_layer_0,0.6695483982847966,0.46918374980354166
xlm-roberta-base_layer_1,0.6818837460227624,0.47859275674136814
xlm-roberta-base_layer_2,0.6914475447809941,0.4877605070910453
xlm-roberta-base_layer_3,0.711985061309298,0.4916206125014357
xlm-roberta-base_layer_4,0.7284635063453602,0.5007883628511128
xlm-roberta-base_layer_5,0.7267049031605719,0.49427443497107904
xlm-roberta-base_layer_6,0.7191942223373401,0.4987376818518429
xlm-roberta-base_layer_7,0.6998225131346681,0.4641173614524043
xlm-roberta-base_layer_8,0.6913825330650089,0.45772406186644526
xlm-roberta-base_layer_9,0.6646454348648229,0.4348046859922524
xlm-roberta-base_layer_10,0.6454679898966282,0.41961661325074834
xlm-roberta-base_layer_11,0.6118335064118621,0.3777475028949198
xlm-roberta-large_layer_0,0.6664780922508694,0.4676155819805705
xlm-roberta-large_layer_1,0.6644282654666682,0.4760595625657995
xlm-roberta-large_layer_2,0.6875202381671082,0.4779896152709947
xlm-roberta-large_layer_3,0.681569573874973,0.4817290923873104
xlm-roberta-large_layer_4,0.693595665978649,0.4881223919732694
xlm-roberta-large_layer_5,0.6987423105881316,0.490293701266614
xlm-roberta-large_layer_6,0.6962043689420855,0.4947569481473778
xlm-roberta-large_layer_7,0.7023542491826936,0.4998233364985152
xlm-roberta-large_layer_8,0.70088478374545,0.5029596721444574
xlm-roberta-large_layer_9,0.6917640241477551,0.49246501055995856
xlm-roberta-large_layer_10,0.6781756770397388,0.4867954807384477
xlm-roberta-large_layer_11,0.6687810012610093,0.47931652650581635
xlm-roberta-large_layer_12,0.6270009546755219,0.44457557781230306
xlm-roberta-large_layer_13,0.6393571661947163,0.4513307622804862
xlm-roberta-large_layer_14,0.6251487803669012,0.43311588987520666
xlm-roberta-large_layer_15,0.6161423197627374,0.4290145278766669
xlm-roberta-large_layer_16,0.6452074605150023,0.4190023794684669
xlm-roberta-large_layer_17,0.6280867415998055,0.41152342523583557
xlm-roberta-large_layer_18,0.6101864858158719,0.38703588153867163
xlm-roberta-large_layer_19,0.6564190399895611,0.4266019619951729
xlm-roberta-large_layer_20,0.6559563672034985,0.4120059384121343
xlm-roberta-large_layer_21,0.6125175283813955,0.38872467765571744
xlm-roberta-large_layer_22,0.593711109282525,0.38269326295198247
xlm-roberta-large_layer_23,0.6139432369933676,0.4011493919454114
facebook/mbart-large-cc25_layer_0,0.6651302681135298,0.46592678586352476
facebook/mbart-large-cc25_layer_1,0.6778185137680378,0.4769039606243224
facebook/mbart-large-cc25_layer_2,0.6812920674012549,0.4773864738006212
facebook/mbart-large-cc25_layer_3,0.6849406884329972,0.48052280944656334
facebook/mbart-large-cc25_layer_4,0.6904523921714508,0.48341788850435613
facebook/mbart-large-cc25_layer_5,0.6962304726784011,0.4916206125014357
facebook/mbart-large-cc25_layer_6,0.7086900227847979,0.4997027082044405
facebook/mbart-large-cc25_layer_7,0.71581232922427,0.5097148566126405
facebook/mbart-large-cc25_layer_8,0.7211518710918762,0.5121274224941345
facebook/mbart-large-cc25_layer_9,0.7249241696834493,0.5155050147282261
facebook/mbart-large-cc25_layer_10,0.7240055793713829,0.5217776860201104
facebook/mbart-large-cc25_layer_11,0.721275077201323,0.5196063767267658
facebook/mbart-large-50_layer_0,0.665388687296536,0.46773621027464524
facebook/mbart-large-50_layer_1,0.6815747662871549,0.4746120230369031
facebook/mbart-large-50_layer_2,0.6834988512968316,0.47485327962505247
facebook/mbart-large-50_layer_3,0.6886101307932779,0.4761801908598742
facebook/mbart-large-50_layer_4,0.6934345686383219,0.47967841138804046
facebook/mbart-large-50_layer_5,0.7035224203317668,0.4884842768554935
facebook/mbart-large-50_layer_6,0.7169505255901436,0.4971695140288718
facebook/mbart-large-50_layer_7,0.7286762170357702,0.5045278399674284
facebook/mbart-large-50_layer_8,0.7362916228276767,0.5108005112593128
facebook/mbart-large-50_layer_9,0.7439943544100382,0.5173144391393465
facebook/mbart-large-50_layer_10,0.7492716641051916,0.525517163136426
facebook/mbart-large-50_layer_11,0.7439423872701366,0.5226220840786333
facebook/mbart-large-50-many-to-many-mmt_layer_0,0.6482447814673893,0.45374332816198015
facebook/mbart-large-50-many-to-many-mmt_layer_1,0.6690191000911276,0.46858060833316817
facebook/mbart-large-50-many-to-many-mmt_layer_2,0.6875087701733024,0.48474479973917783
facebook/mbart-large-50-many-to-many-mmt_layer_3,0.6981797430373181,0.49391255008885493
facebook/mbart-large-50-many-to-many-mmt_layer_4,0.7025713975498497,0.5001852213807393
facebook/mbart-large-50-many-to-many-mmt_layer_5,0.7057485392996066,0.5000645930866646
facebook/mbart-large-50-many-to-many-mmt_layer_6,0.7100440731919,0.5012708760274116
facebook/mbart-large-50-many-to-many-mmt_layer_7,0.7163980988539724,0.5101973697889393
facebook/mbart-large-50-many-to-many-mmt_layer_8,0.7213803467958719,0.516349412786749
facebook/mbart-large-50-many-to-many-mmt_layer_9,0.7220223210198825,0.520330146491214
facebook/mbart-large-50-many-to-many-mmt_layer_10,0.722691711590484,0.5237077387253056
facebook/mbart-large-50-many-to-many-mmt_layer_11,0.7224305420525198,0.5243108801956791
google/mt5-small_layer_0,0.6629016823451196,0.4598953711597898
google/mt5-small_layer_1,0.6785235095321133,0.4608603975123874
google/mt5-small_layer_2,0.6872419567751504,0.4553114959849513
google/mt5-small_layer_3,0.6847574287680226,0.45868908821904286
google/mt5-small_layer_4,0.6741354195239492,0.45579400916125007
google/mt5-small_layer_5,0.6789365215093878,0.46279045021758264
google/mt5-small_layer_6,0.6893479644604459,0.4715963156850356
google/mt5-small_layer_7,0.6837653462380907,0.47364699668430554
google/mt5-base_layer_0,0.6650524788208402,0.4621873087472091
google/mt5-base_layer_1,0.6778201658051213,0.4667711839220477
google/mt5-base_layer_2,0.6876228648095529,0.4656855292753754
google/mt5-base_layer_3,0.6865548284044751,0.4532608149856814
google/mt5-base_layer_4,0.6882570799956277,0.45687966380792233
google/mt5-base_layer_5,0.6939580315992857,0.45953348627756574
google/mt5-base_layer_6,0.6969012137828176,0.47364699668430554
google/mt5-base_layer_7,0.6963309485626239,0.47388825327245493
google/mt5-base_layer_8,0.7013384243523275,0.4784721284472934
google/mt5-base_layer_9,0.7071551281143048,0.486674852444373
google/mt5-base_layer_10,0.7053471453319933,0.48969055979624043
google/mt5-base_layer_11,0.7066809371631689,0.4882430202673441
google/mt5-large_layer_0,0.6661418695146781,0.4672536970983464
google/mt5-large_layer_1,0.686067875425889,0.473043855213932
google/mt5-large_layer_2,0.6834394441301277,0.463031706805732
google/mt5-large_layer_3,0.6838006696721798,0.4613429106886862
google/mt5-large_layer_4,0.6875583430538191,0.4613429106886862
google/mt5-large_layer_5,0.689569629496007,0.46110165410053683
google/mt5-large_layer_6,0.6910181200567087,0.4629110785116573
google/mt5-large_layer_7,0.6934207922907192,0.461825423864985
google/mt5-large_layer_8,0.6961656820821389,0.46146353898276093
google/mt5-large_layer_9,0.6986088102870427,0.4613429106886862
google/mt5-large_layer_10,0.6997739481791652,0.45965411457164046
google/mt5-large_layer_11,0.7024944556541068,0.46146353898276093
google/mt5-large_layer_12,0.7055784677614471,0.46459987462870306
google/mt5-large_layer_13,0.7092578440084439,0.4713550590968862
google/mt5-large_layer_14,0.7111176207468451,0.4753357928013513
google/mt5-large_layer_15,0.7099561037426634,0.4788340133295175
google/mt5-large_layer_16,0.7106015262247253,0.483056003622132
google/mt5-large_layer_17,0.7148332826934701,0.48944930320809105
google/mt5-large_layer_18,0.7176112535917349,0.49077621444291275
google/mt5-large_layer_19,0.7149190875978806,0.48788113538512
google/mt5-large_layer_20,0.7206417139109106,0.4941538066770043
google/mt5-large_layer_21,0.7119475793603105,0.4886049051495682
google/mt5-large_layer_22,0.7144475835490306,0.4884842768554935
google/mt5-large_layer_23,0.7107899568552405,0.4820909772695344
google/mt5-xl_layer_0,0.6624551857111359,0.46532364439315127
google/mt5-xl_layer_1,0.6685944096248235,0.4706312893324381
google/mt5-xl_layer_2,0.6752273172807572,0.46833935174501873
google/mt5-xl_layer_3,0.6772567928551567,0.46870123662724283
google/mt5-xl_layer_4,0.6792210387730242,0.4676155819805705
google/mt5-xl_layer_5,0.6810810883612922,0.4660474141575995
google/mt5-xl_layer_6,0.682160225843762,0.463031706805732
google/mt5-xl_layer_7,0.6828551439350963,0.4619460521590597
google/mt5-xl_layer_8,0.683885768112938,0.4620666804531344
google/mt5-xl_layer_9,0.6861098986323328,0.46279045021758264
google/mt5-xl_layer_10,0.687002487752698,0.4632729633938814
google/mt5-xl_layer_11,0.6889037594312248,0.4629110785116573
google/mt5-xl_layer_12,0.6904132442951025,0.46387610486425485
google/mt5-xl_layer_13,0.6925456477579862,0.46423798974647895
google/mt5-xl_layer_14,0.6958712219465917,0.4660474141575995
google/mt5-xl_layer_15,0.7004228961389372,0.4699075195679899
google/mt5-xl_layer_16,0.7027488840033275,0.4744913947428284
google/mt5-xl_layer_17,0.7064916433780554,0.47907526991766697
google/mt5-xl_layer_18,0.7123485631166772,0.48631296756214887
google/mt5-xl_layer_19,0.7179374827809696,0.49572197449997546
google/mt5-xl_layer_20,0.7240338196094136,0.5034421853207561
google/mt5-xl_layer_21,0.7344296627339906,0.5164700410808236
google/mt5-xl_layer_22,0.7362947298567718,0.521536429431961
google/mt5-xl_layer_23,0.7361331767491223,0.5241902519016044
google/byt5-small_layer_0,0.37606356484508835,0.13697342792182068
google/byt5-small_layer_1,0.5440964195934008,0.31381450703532937
google/byt5-small_layer_2,0.4254129176036247,0.22261951671485694
google/byt5-small_layer_3,0.4370637082618003,0.23094286900601116
google/byt5-small_layer_4,0.41233090633930536,0.21526119077630032
google/byt5-small_layer_5,0.4223774329403465,0.217794384951869
google/byt5-small_layer_6,0.4618212659624418,0.23769805347419432
google/byt5-small_layer_7,0.3941753698552725,0.19813197301769306
google/byt5-small_layer_8,0.3905762030594055,0.20983291754293887
google/byt5-small_layer_9,0.36220860440481384,0.19789071642954364
google/byt5-small_layer_10,0.37140277436852664,0.1943924959013774
google/byt5-small_layer_11,0.3964264974476145,0.22093072059781116
google/byt5-base_layer_0,0.3743592461630501,0.1339577205699532
google/byt5-base_layer_1,0.6023519894973747,0.37364614089638004
google/byt5-base_layer_2,0.624048881719695,0.40886960276619216
google/byt5-base_layer_3,0.6303597125773303,0.41152342523583557
google/byt5-base_layer_4,0.6569895812529442,0.4294970410529657
google/byt5-base_layer_5,0.6613206529145207,0.43275400499298255
google/byt5-base_layer_6,0.6582781054362684,0.41707232676327166
google/byt5-base_layer_7,0.6615323240350802,0.408145833001744
google/byt5-base_layer_8,0.6495598174458035,0.40344132953283074
google/byt5-base_layer_9,0.6335479919273015,0.3968067733587223
google/byt5-base_layer_10,0.6473196500150312,0.40525075394395116
google/byt5-base_layer_11,0.6248589706794262,0.39921933924021624
google/byt5-base_layer_12,0.6186064605754202,0.3994605958283656
google/byt5-base_layer_13,0.6234252742268513,0.4099552574128644
google/byt5-base_layer_14,0.6314317426003448,0.4140566194114042
google/byt5-base_layer_15,0.6394352970710094,0.418157981409944
google/byt5-base_layer_16,0.6352716916649389,0.4171929550573464
google/byt5-base_layer_17,0.6286271514344968,0.4188817511743922
google/byt5-large_layer_0,0.36694417007214913,0.13178641127660862
google/byt5-large_layer_1,0.6032863103458804,0.35362184407998
google/byt5-large_layer_2,0.6163944056008078,0.3583263475488933
google/byt5-large_layer_3,0.6195891833833412,0.3601357719600138
google/byt5-large_layer_4,0.6189396954187386,0.36182456807705954
google/byt5-large_layer_5,0.6235783081030587,0.36713221301634635
google/byt5-large_layer_6,0.6281122763651651,0.3700272920741391
google/byt5-large_layer_7,0.6327524136066983,0.37304299942600655
google/byt5-large_layer_8,0.637412334931199,0.37629996336602345
google/byt5-large_layer_9,0.6421022625668834,0.3824520063638331
google/byt5-large_layer_10,0.6478710954394754,0.38981033230238976
google/byt5-large_layer_11,0.655155031641864,0.3952386055357512
google/byt5-large_layer_12,0.6602885275185418,0.3987368260639174
google/byt5-large_layer_13,0.6656340978148131,0.4058646242007023
google/byt5-large_layer_14,0.6670640866002717,0.41079965547138736
google/byt5-large_layer_15,0.6731201605577543,0.4132122213528813
google/byt5-large_layer_16,0.6771537939213903,0.4214149453499609
google/byt5-large_layer_17,0.6801647238824369,0.42262122829070786
google/byt5-large_layer_18,0.6821703128757844,0.4258781922307247
google/byt5-large_layer_19,0.6803322049712686,0.4273257317596211
google/byt5-large_layer_20,0.6818888674925198,0.43166835034631024
google/byt5-large_layer_21,0.6861695718255804,0.43842353481449337
google/byt5-large_layer_22,0.6877037455156711,0.4407154724019127
google/byt5-large_layer_23,0.6827561128705478,0.43721725187374644
google/byt5-large_layer_24,0.6808781283305638,0.43807323013370497
google/byt5-large_layer_25,0.6826237896936842,0.44650563051749825
google/byt5-large_layer_26,0.694274825358623,0.45796531845459465
google/byt5-large_layer_27,0.7091244850128468,0.4777483586828453
google/byt5-large_layer_28,0.7170007725329368,0.48981118809031515
google/byt5-large_layer_29,0.7301389582856799,0.4993408233222164
google/byt5-large_layer_30,0.7326239512693843,0.48763987879697057
google/byt5-large_layer_31,0.7342146875119171,0.4870367373265971
