model_layer,pearson,kendall
bert-base-multilingual-cased_layer_0,0.7837998913326688,0.5559105473858095
bert-base-multilingual-cased_layer_1,0.7853006339832503,0.5577798212773976
bert-base-multilingual-cased_layer_2,0.7877402740487538,0.5588862712918553
bert-base-multilingual-cased_layer_3,0.7856095993638643,0.5714279569693468
bert-base-multilingual-cased_layer_4,0.787564971021998,0.5768409491855786
bert-base-multilingual-cased_layer_5,0.7840413342465077,0.5805310596735827
bert-base-multilingual-cased_layer_6,0.7775142747747017,0.5817025701483856
bert-base-multilingual-cased_layer_7,0.7669148748223338,0.5801551573260558
bert-base-multilingual-cased_layer_8,0.7584233827071786,0.576248993416533
bert-base-multilingual-cased_layer_9,0.7281774699411754,0.5664180150473805
bert-base-multilingual-cased_layer_10,0.7147395462029319,0.5587122562151717
bert-base-multilingual-cased_layer_11,0.7324496977045524,0.557771343858238
xlm-mlm-100-1280_layer_0,0.7775944459992639,0.5616362369543725
xlm-mlm-100-1280_layer_1,0.7803892884783371,0.5649107524708717
xlm-mlm-100-1280_layer_2,0.7805330247515951,0.5655859508598181
xlm-mlm-100-1280_layer_3,0.7813192859364428,0.5638238105872039
xlm-mlm-100-1280_layer_4,0.7787602738239641,0.5714533049128493
xlm-mlm-100-1280_layer_5,0.7766564220151296,0.5714357961234424
xlm-mlm-100-1280_layer_6,0.7650495806337153,0.5655121268415683
xlm-mlm-100-1280_layer_7,0.7587253034569158,0.5672771391084355
xlm-mlm-100-1280_layer_8,0.7554872456460437,0.5710599836297924
xlm-mlm-100-1280_layer_9,0.7588930360865426,0.5706185479303235
xlm-mlm-100-1280_layer_10,0.7620118644443246,0.5714128284982072
xlm-mlm-100-1280_layer_11,0.7789707146797414,0.5667306409687669
xlm-mlm-100-1280_layer_12,0.78650550862309,0.5571415741673733
xlm-mlm-100-1280_layer_13,0.7890307350811578,0.5454164332428549
xlm-mlm-100-1280_layer_14,0.7912981506543627,0.5413963803655988
xlm-mlm-100-1280_layer_15,0.7954735865376874,0.5361733487656893
distilbert-base-multilingual-cased_layer_0,0.782937208465956,0.5529731686085163
distilbert-base-multilingual-cased_layer_1,0.7827399505660768,0.5600338379916038
distilbert-base-multilingual-cased_layer_2,0.7719413287529775,0.5730812508149701
distilbert-base-multilingual-cased_layer_3,0.7622018845706063,0.5807516773724796
distilbert-base-multilingual-cased_layer_4,0.7523604993431342,0.583019402343797
distilbert-base-multilingual-cased_layer_5,0.6810609799024054,0.5655058134064753
xlm-roberta-base_layer_0,0.7595337727483252,0.5365782145047474
xlm-roberta-base_layer_1,0.7623783648196059,0.551908083416355
xlm-roberta-base_layer_2,0.7492511171144383,0.5547883115756178
xlm-roberta-base_layer_3,0.7590027406074136,0.5607980240027746
xlm-roberta-base_layer_4,0.7719496580109131,0.5740920946529721
xlm-roberta-base_layer_5,0.7709821348848384,0.5837951178727959
xlm-roberta-base_layer_6,0.7786520248145138,0.5857552553440236
xlm-roberta-base_layer_7,0.7635625165368111,0.5856923420975657
xlm-roberta-base_layer_8,0.7618283262308286,0.5794183718111905
xlm-roberta-base_layer_9,0.7444708487247905,0.5681724441926932
xlm-roberta-base_layer_10,0.7295843051370794,0.5610578241337015
xlm-roberta-base_layer_11,0.7197246414153856,0.5550846024929132
xlm-roberta-large_layer_0,0.7489259888353726,0.5279788258127474
xlm-roberta-large_layer_1,0.755814954706556,0.5535147735240876
xlm-roberta-large_layer_2,0.7554148883618372,0.5528323401004162
xlm-roberta-large_layer_3,0.7548544648561236,0.5508592349205926
xlm-roberta-large_layer_4,0.7546711722952413,0.5494290296950296
xlm-roberta-large_layer_5,0.7542504579629801,0.5520076202759969
xlm-roberta-large_layer_6,0.7541796690474022,0.562208427699474
xlm-roberta-large_layer_7,0.7622588099427801,0.5695615164095176
xlm-roberta-large_layer_8,0.7587828280255192,0.5778331189041276
xlm-roberta-large_layer_9,0.7527738371492305,0.5854265212135474
