model_layer,pearson,kendall
bert-base-multilingual-cased_layer_0,0.32673028271886717,0.23035796920457993
bert-base-multilingual-cased_layer_1,0.33382193263433413,0.23496251727762474
bert-base-multilingual-cased_layer_2,0.3316462543019293,0.23313091656676713
bert-base-multilingual-cased_layer_3,0.3323319841734078,0.2345961971354532
bert-base-multilingual-cased_layer_4,0.3368332845757904,0.23605978086671148
bert-base-multilingual-cased_layer_5,0.3372273778952965,0.23566330363656154
bert-base-multilingual-cased_layer_6,0.33979297954174204,0.2380028563493373
bert-base-multilingual-cased_layer_7,0.33418346756119244,0.23696675954739316
bert-base-multilingual-cased_layer_8,0.3297588545988045,0.2342919007144863
bert-base-multilingual-cased_layer_9,0.3260091156758148,0.2300729397277701
bert-base-multilingual-cased_layer_10,0.3392594975893118,0.24526726214653666
bert-base-multilingual-cased_layer_11,0.3583558826504252,0.2609712473718028
xlm-mlm-100-1280_layer_0,0.34661196556018437,0.2603430680449656
xlm-mlm-100-1280_layer_1,0.35321807882471656,0.26337621873997236
xlm-mlm-100-1280_layer_2,0.36504357288545736,0.2724048485007455
xlm-mlm-100-1280_layer_3,0.372097968088012,0.2786959535469521
xlm-mlm-100-1280_layer_4,0.3671177047033698,0.27342613220563444
xlm-mlm-100-1280_layer_5,0.36144952346845716,0.26786569675854577
xlm-mlm-100-1280_layer_6,0.35425410883374475,0.2623250392015671
xlm-mlm-100-1280_layer_7,0.3453063726156869,0.2531970695495426
xlm-mlm-100-1280_layer_8,0.3427731701798128,0.25193884854030124
xlm-mlm-100-1280_layer_9,0.3443593911750077,0.2520344096296107
xlm-mlm-100-1280_layer_10,0.34273640486553003,0.2501709683880761
xlm-mlm-100-1280_layer_11,0.3440031163589439,0.24837123453941448
xlm-mlm-100-1280_layer_12,0.34637090920584224,0.24940827244934516
xlm-mlm-100-1280_layer_13,0.36517363774238587,0.26906214442498244
xlm-mlm-100-1280_layer_14,0.3710542514820214,0.2770734066646466
xlm-mlm-100-1280_layer_15,0.3583381255911403,0.26748345240130794
distilbert-base-multilingual-cased_layer_0,0.3261890032680209,0.23013664757858254
