model_layer,pearson,kendall
bert-base-multilingual-cased_layer_0,0.2602481769699381,0.20750880470986788
bert-base-multilingual-cased_layer_1,0.26173033519200645,0.21235965988490374
bert-base-multilingual-cased_layer_2,0.26966593827169627,0.21559356333492766
bert-base-multilingual-cased_layer_3,0.2907278183401028,0.2306851127683726
bert-base-multilingual-cased_layer_4,0.3132451908460775,0.24901056565184143
bert-base-multilingual-cased_layer_5,0.33333210761091797,0.26248516336027444
bert-base-multilingual-cased_layer_6,0.352046608495359,0.27380382543535814
bert-base-multilingual-cased_layer_7,0.3516224491773888,0.2727258576186835
bert-base-multilingual-cased_layer_8,0.34234734897379104,0.26571906681029833
bert-base-multilingual-cased_layer_9,0.3216178712927923,0.23553596794340845
bert-base-multilingual-cased_layer_10,0.3215022385134495,0.2193664506932889
bert-base-multilingual-cased_layer_11,0.31488393334412046,0.23715291966842042
xlm-mlm-100-1280_layer_0,0.3396781253918321,0.2700309380769969
xlm-mlm-100-1280_layer_1,0.3437990872158337,0.26949195416865956
xlm-mlm-100-1280_layer_2,0.3362825436583922,0.26302414726861173
xlm-mlm-100-1280_layer_3,0.33049165352378507,0.26841398635198493
xlm-mlm-100-1280_layer_4,0.3370959859013172,0.2700309380769969
xlm-mlm-100-1280_layer_5,0.3474377925279305,0.27542077716037006
xlm-mlm-100-1280_layer_6,0.34907427501889793,0.2808106162437433
xlm-mlm-100-1280_layer_7,0.35404095555113807,0.29428521395217627
xlm-mlm-100-1280_layer_8,0.35137975276146033,0.2856614714187791
xlm-mlm-100-1280_layer_9,0.3475850525515819,0.27110890589367154
xlm-mlm-100-1280_layer_10,0.3594658431514568,0.2856614714187791
xlm-mlm-100-1280_layer_11,0.363771997495588,0.29482419786051356
xlm-mlm-100-1280_layer_12,0.36727397972644643,0.3018309886688987
xlm-mlm-100-1280_layer_13,0.3713125829942308,0.3050648921189226
xlm-mlm-100-1280_layer_14,0.36740106752922547,0.30129200476056145
xlm-mlm-100-1280_layer_15,0.3558966240362877,0.2910513105021523
distilbert-base-multilingual-cased_layer_0,0.2582612311766431,0.20643083689319322
distilbert-base-multilingual-cased_layer_1,0.25570604318350837,0.20373591735150662
distilbert-base-multilingual-cased_layer_2,0.2785190482793429,0.22367832195998744
distilbert-base-multilingual-cased_layer_3,0.30212724873696545,0.23230206449338456
distilbert-base-multilingual-cased_layer_4,0.2987349344236413,0.2473936139268295
distilbert-base-multilingual-cased_layer_5,0.26107065736512614,0.20104099780982004
xlm-roberta-base_layer_0,0.2764750063230191,0.21882746678495157
xlm-roberta-base_layer_1,0.2837776701743343,0.2199054346016262
xlm-roberta-base_layer_2,0.29977149520871993,0.22583425759333672
xlm-roberta-base_layer_3,0.31323627459920905,0.24415971047680557
xlm-roberta-base_layer_4,0.3205400188569754,0.24954954956017877
xlm-roberta-base_layer_5,0.32636623405631,0.25871227600191316
xlm-roberta-base_layer_6,0.3106127429872358,0.24092580702678168
xlm-roberta-base_layer_7,0.321725176087323,0.24685463001849217
xlm-roberta-base_layer_8,0.30054092426777523,0.23176308058504724
xlm-roberta-base_layer_9,0.28587154087244226,0.22529527368499938
xlm-roberta-base_layer_10,0.29208897233288716,0.23769190357675773
xlm-roberta-base_layer_11,0.29997499601241157,0.24362072656846825
xlm-roberta-large_layer_0,0.27095883498598095,0.20912575643487982
xlm-roberta-large_layer_1,0.30008905589933177,0.23014612886003527
xlm-roberta-large_layer_2,0.280809639071813,0.22367832195998744
xlm-roberta-large_layer_3,0.2732708192374848,0.21289864379324105
