model_layer,pearson,kendall
bert-base-multilingual-cased_layer_0,0.26273940490656617,0.2386430947866086
bert-base-multilingual-cased_layer_1,0.2600545149816932,0.2366490169869169
bert-base-multilingual-cased_layer_2,0.2588144217475207,0.23424973612027203
bert-base-multilingual-cased_layer_3,0.2605363121861079,0.23732497159801969
bert-base-multilingual-cased_layer_4,0.26398273220119234,0.24125827706581982
bert-base-multilingual-cased_layer_5,0.26473526990784035,0.24436356454655236
bert-base-multilingual-cased_layer_6,0.26950647772197717,0.24886586161473134
bert-base-multilingual-cased_layer_7,0.25843670797086504,0.2460730721920367
bert-base-multilingual-cased_layer_8,0.25195390308525123,0.24492679807963488
bert-base-multilingual-cased_layer_9,0.23634791172289327,0.236254073432158
bert-base-multilingual-cased_layer_10,0.22750951353196694,0.23299771676761552
bert-base-multilingual-cased_layer_11,0.22430874618842597,0.23042919145063545
xlm-mlm-100-1280_layer_0,0.265744876239027,0.2389269006417197
xlm-mlm-100-1280_layer_1,0.26249223456544873,0.2394160773263678
xlm-mlm-100-1280_layer_2,0.2593635198750524,0.23813702276646634
xlm-mlm-100-1280_layer_3,0.25637583096623595,0.2342134878120409
xlm-mlm-100-1280_layer_4,0.25421494016103097,0.23535521876154228
xlm-mlm-100-1280_layer_5,0.2512463260364357,0.23516891965483855
xlm-mlm-100-1280_layer_6,0.24191002771478853,0.23251576431324705
xlm-mlm-100-1280_layer_7,0.24154947638205757,0.23500912496311263
xlm-mlm-100-1280_layer_8,0.24322996125715607,0.23677602763619035
xlm-mlm-100-1280_layer_9,0.24410546422490517,0.23598746523245492
xlm-mlm-100-1280_layer_10,0.2460908577355544,0.23588992658473723
xlm-mlm-100-1280_layer_11,0.24952510766691904,0.2336707092981561
xlm-mlm-100-1280_layer_12,0.24491459424547,0.22812146252482604
xlm-mlm-100-1280_layer_13,0.23855668857191598,0.2206755377613872
xlm-mlm-100-1280_layer_14,0.24048596937902256,0.2192688202037024
xlm-mlm-100-1280_layer_15,0.2448833068727068,0.2191265024505643
distilbert-base-multilingual-cased_layer_0,0.26417260002111714,0.23717920936801792
distilbert-base-multilingual-cased_layer_1,0.25721795216981197,0.2338816193036462
distilbert-base-multilingual-cased_layer_2,0.259573112953163,0.24025246627717423
distilbert-base-multilingual-cased_layer_3,0.2614415042680509,0.24552517815860786
distilbert-base-multilingual-cased_layer_4,0.25911267793074105,0.24703605953627272
distilbert-base-multilingual-cased_layer_5,0.24049387390091448,0.2402105515321537
xlm-roberta-base_layer_0,0.2434927926789811,0.21684494234444246
xlm-roberta-base_layer_1,0.25223549142572516,0.2271884789508884
xlm-roberta-base_layer_2,0.24731853155407574,0.22622342615120372
xlm-roberta-base_layer_3,0.25447584840592397,0.2307742583092454
xlm-roberta-base_layer_4,0.26482318932816645,0.2398396063005326
xlm-roberta-base_layer_5,0.27206240227130424,0.24684610255644718
xlm-roberta-base_layer_6,0.2704727434169162,0.24687036290158712
xlm-roberta-base_layer_7,0.2640900863624155,0.24612857741758304
xlm-roberta-base_layer_8,0.257804342745168,0.2393056517632117
xlm-roberta-base_layer_9,0.24450415734386113,0.22840884671221082
xlm-roberta-base_layer_10,0.2332816337184709,0.22059720736536775
xlm-roberta-base_layer_11,0.22566352666600076,0.21572080362524498
xlm-roberta-large_layer_0,0.24118468699810758,0.2137551820944301
xlm-roberta-large_layer_1,0.25518307940734486,0.2299394884603817
xlm-roberta-large_layer_2,0.24617798900483115,0.2251276951484664
xlm-roberta-large_layer_3,0.24983182923482233,0.2261315164922286
xlm-roberta-large_layer_4,0.2490540717076576,0.22507272735710857
xlm-roberta-large_layer_5,0.25653976761785646,0.2294566731888194
xlm-roberta-large_layer_6,0.26488106372204356,0.2365009238938247
xlm-roberta-large_layer_7,0.2696622357088582,0.24053681980935476
xlm-roberta-large_layer_8,0.27516893993023694,0.2462753647703361
xlm-roberta-large_layer_9,0.27934198703961216,0.2515988763699018
xlm-roberta-large_layer_10,0.2763124013452217,0.24932308535635198
xlm-roberta-large_layer_11,0.28035374708214317,0.254837876489396
xlm-roberta-large_layer_12,0.2754008236663924,0.25137756351365276
xlm-roberta-large_layer_13,0.2807574688571294,0.2544200625645339
xlm-roberta-large_layer_14,0.2797333931199955,0.25322685823889957
xlm-roberta-large_layer_15,0.28079532999981033,0.25296411830727533
xlm-roberta-large_layer_16,0.2848372109211315,0.25552481917078124
xlm-roberta-large_layer_17,0.2876427065236343,0.25871176351710007
xlm-roberta-large_layer_18,0.2799045188150356,0.251809917533943
xlm-roberta-large_layer_19,0.28018714003009604,0.25362029052398366
xlm-roberta-large_layer_20,0.26491360598577224,0.2407883233831968
xlm-roberta-large_layer_21,0.24182448620869093,0.22566015036081044
xlm-roberta-large_layer_22,0.21821275737105147,0.20824906611252209
xlm-roberta-large_layer_23,0.20830452184208076,0.20340224500173035
facebook/mbart-large-cc25_layer_0,0.24135901509651328,0.21596245073743803
facebook/mbart-large-cc25_layer_1,0.24638590649036998,0.22288996909253717
facebook/mbart-large-cc25_layer_2,0.25717193480888595,0.23167961632892198
facebook/mbart-large-cc25_layer_3,0.26144261868168556,0.23618318485782938
facebook/mbart-large-cc25_layer_4,0.2611368919056586,0.23824738645734012
facebook/mbart-large-cc25_layer_5,0.26312716218711985,0.24213045535242692
facebook/mbart-large-cc25_layer_6,0.264657643463074,0.24319888384592192
facebook/mbart-large-cc25_layer_7,0.26892870342882574,0.24666825923703692
facebook/mbart-large-cc25_layer_8,0.27294048951340494,0.24847002366696166
facebook/mbart-large-cc25_layer_9,0.27272456087771885,0.24954757751368217
