model_layer,pearson,kendall
bert-base-multilingual-cased_layer_0,0.38690033506123894,0.2832531232027681
bert-base-multilingual-cased_layer_1,0.3929055316937525,0.2880208332692273
bert-base-multilingual-cased_layer_2,0.3934062122144587,0.28896975158299126
bert-base-multilingual-cased_layer_3,0.39567165146992705,0.2908836715717693
bert-base-multilingual-cased_layer_4,0.40026632939874096,0.2944541777693217
bert-base-multilingual-cased_layer_5,0.4018701875874131,0.29328009239805447
bert-base-multilingual-cased_layer_6,0.41391987591242524,0.3029140257869459
bert-base-multilingual-cased_layer_7,0.4392442779798452,0.32247139306723294
bert-base-multilingual-cased_layer_8,0.4431504495305383,0.32676565052104595
bert-base-multilingual-cased_layer_9,0.431137881005022,0.3175981346084114
bert-base-multilingual-cased_layer_10,0.4128490459035128,0.30357344359820554
bert-base-multilingual-cased_layer_11,0.4062034215873729,0.29849110144313096
xlm-mlm-100-1280_layer_0,0.3757318309749415,0.26698379675391853
xlm-mlm-100-1280_layer_1,0.3827521078827537,0.27155147134898555
xlm-mlm-100-1280_layer_2,0.391714291449574,0.2780330659328307
xlm-mlm-100-1280_layer_3,0.39933623732310264,0.2847559109354294
xlm-mlm-100-1280_layer_4,0.3970169182684682,0.28367832573166357
xlm-mlm-100-1280_layer_5,0.37780995467324535,0.2677397147326796
xlm-mlm-100-1280_layer_6,0.35963434866137833,0.25360244019372213
xlm-mlm-100-1280_layer_7,0.35432491944218053,0.24945293299116122
xlm-mlm-100-1280_layer_8,0.3449950672623753,0.24216717034480428
xlm-mlm-100-1280_layer_9,0.3630164068829194,0.2561275279100092
xlm-mlm-100-1280_layer_10,0.35751492881699204,0.2520584375136995
xlm-mlm-100-1280_layer_11,0.3570485680559636,0.25030535113742375
xlm-mlm-100-1280_layer_12,0.35707458681624693,0.25062701836242846
xlm-mlm-100-1280_layer_13,0.3754268471318009,0.2631237900538619
xlm-mlm-100-1280_layer_14,0.38924878759517273,0.26904246699394874
xlm-mlm-100-1280_layer_15,0.3862802035967252,0.2679970485126834
distilbert-base-multilingual-cased_layer_0,0.38628831893918003,0.2845076298381947
distilbert-base-multilingual-cased_layer_1,0.3797071665278561,0.27452689318027923
distilbert-base-multilingual-cased_layer_2,0.3794870303189465,0.2769715640903151
distilbert-base-multilingual-cased_layer_3,0.38320007306883824,0.2816035721303831
distilbert-base-multilingual-cased_layer_4,0.38647795852989303,0.2850775781604341
distilbert-base-multilingual-cased_layer_5,0.36266907986497293,0.26154762065133874
xlm-roberta-base_layer_0,0.3212621130578577,0.22436288944079297
xlm-roberta-base_layer_1,0.2911404831277057,0.19755192623664947
xlm-roberta-base_layer_2,0.28584114354153095,0.19250175080407536
xlm-roberta-base_layer_3,0.2868059512344887,0.19237308391407348
xlm-roberta-base_layer_4,0.31213871448443226,0.2130402031206268
xlm-roberta-base_layer_5,0.3329476147018109,0.22764389513584116
xlm-roberta-base_layer_6,0.3694735664252022,0.2581861981500394
xlm-roberta-base_layer_7,0.3540828239310441,0.24581809334860788
xlm-roberta-base_layer_8,0.3574482723786049,0.25045010138867585
