model_layer,pearson,kendall
DeepPavlov/rubert-base-cased_layer_0,0.527491706132344,0.37787538578185337
DeepPavlov/rubert-base-cased_layer_1,0.5535531722910323,0.37787538578185337
DeepPavlov/rubert-base-cased_layer_2,0.5650915805684531,0.38049497251171027
DeepPavlov/rubert-base-cased_layer_3,0.562938631977167,0.3818047658766387
DeepPavlov/rubert-base-cased_layer_4,0.5613752223703148,0.37787538578185337
DeepPavlov/rubert-base-cased_layer_5,0.5600859969406328,0.38245966255910285
DeepPavlov/rubert-base-cased_layer_6,0.559658835809116,0.3929380094785304
DeepPavlov/rubert-base-cased_layer_7,0.5766022584565836,0.39490269952592305
DeepPavlov/rubert-base-cased_layer_8,0.5781725513378816,0.3713264189572112
DeepPavlov/rubert-base-cased_layer_9,0.5534290849308562,0.3523344151657489
DeepPavlov/rubert-base-cased_layer_10,0.5021733211680325,0.31238571753543165
DeepPavlov/rubert-base-cased_layer_11,0.4084189255581281,0.26588805308047225
ai-forever/ruBert-base_layer_0,0.5091328539084992,0.36150296872024795
ai-forever/ruBert-base_layer_1,0.5495027761762042,0.3746009023695323
ai-forever/ruBert-base_layer_2,0.5725525074001383,0.37722048909938916
ai-forever/ruBert-base_layer_3,0.5833000166588179,0.37984007582924606
ai-forever/ruBert-base_layer_4,0.6103728826632379,0.391628216113602
ai-forever/ruBert-base_layer_5,0.6028312625170652,0.39752228625577996
ai-forever/ruBert-base_layer_6,0.6131647988744866,0.3968673895733157
ai-forever/ruBert-base_layer_7,0.618972195780818,0.3863890426538882
ai-forever/ruBert-base_layer_8,0.6186421766369863,0.376565592416925
ai-forever/ruBert-base_layer_9,0.629820507100574,0.38245966255910285
ai-forever/ruBert-base_layer_10,0.6203405442963206,0.376565592416925
ai-forever/ruBert-base_layer_11,0.6030115577705155,0.37263621232213967
ai-forever/ruBert-large_layer_0,0.5106491879891776,0.36477745213256907
ai-forever/ruBert-large_layer_1,0.5449005587554122,0.36739703886242586
ai-forever/ruBert-large_layer_2,0.5546928775140385,0.3628127620851764
ai-forever/ruBert-large_layer_3,0.56142554355921,0.3693617289098186
ai-forever/ruBert-large_layer_4,0.5678618298054039,0.376565592416925
ai-forever/ruBert-large_layer_5,0.5741632077288706,0.37853028246431764
ai-forever/ruBert-large_layer_6,0.5869476621096985,0.37984007582924606
