model_layer,pearson,kendall
DeepPavlov/rubert-base-cased_layer_0,0.643541162534957,0.4772658455065465
DeepPavlov/rubert-base-cased_layer_1,0.6796591469260792,0.4870367373265971
DeepPavlov/rubert-base-cased_layer_2,0.6816418378849101,0.4811259509169369
DeepPavlov/rubert-base-cased_layer_3,0.6909583430483036,0.48595108267992476
DeepPavlov/rubert-base-cased_layer_4,0.6969219920600025,0.4919824973836598
DeepPavlov/rubert-base-cased_layer_5,0.7021293931701904,0.495480717911826
DeepPavlov/rubert-base-cased_layer_6,0.6990979184389652,0.48377977338658024
DeepPavlov/rubert-base-cased_layer_7,0.700104033604896,0.484262286562879
DeepPavlov/rubert-base-cased_layer_8,0.7075833445362396,0.4746120230369031
DeepPavlov/rubert-base-cased_layer_9,0.7139335001806129,0.48341788850435613
DeepPavlov/rubert-base-cased_layer_10,0.7006371851846782,0.46966626297984043
DeepPavlov/rubert-base-cased_layer_11,0.6829120745546445,0.45724154869014644
ai-forever/ruBert-base_layer_0,0.6492854206999428,0.4881223919732694
ai-forever/ruBert-base_layer_1,0.6760029105904731,0.4925856388540333
ai-forever/ruBert-base_layer_2,0.6924454019985187,0.4983757969696188
ai-forever/ruBert-base_layer_3,0.6998141119882881,0.4987376818518429
ai-forever/ruBert-base_layer_4,0.7087451344291831,0.5060960077903995
ai-forever/ruBert-base_layer_5,0.7176275976751212,0.5184000937860188
ai-forever/ruBert-base_layer_6,0.7184309582441335,0.5184000937860188
ai-forever/ruBert-base_layer_7,0.7129141948194251,0.5133337054348814
ai-forever/ruBert-base_layer_8,0.7158031741000088,0.5170731825511972
ai-forever/ruBert-base_layer_9,0.7276034256266353,0.5199682616089899
ai-forever/ruBert-base_layer_10,0.7346712217235889,0.5216570577260357
ai-forever/ruBert-base_layer_11,0.7405898667559754,0.5214158011378863
ai-forever/ruBert-large_layer_0,0.6585497564002638,0.4976520272051706
ai-forever/ruBert-large_layer_1,0.6784518992477389,0.4998233364985152
ai-forever/ruBert-large_layer_2,0.6922793926968721,0.49596323108812485
ai-forever/ruBert-large_layer_3,0.6996244839476604,0.4998233364985152
ai-forever/ruBert-large_layer_4,0.7036769366039666,0.5063372643785489
ai-forever/ruBert-large_layer_5,0.7072145105750518,0.513936846905255
ai-forever/ruBert-large_layer_6,0.7030485963813837,0.5092323434363417
ai-forever/ruBert-large_layer_7,0.7006170896214685,0.5098354849067152
ai-forever/ruBert-large_layer_8,0.69963151271211,0.5126099356704333
ai-forever/ruBert-large_layer_9,0.6986548525088709,0.5105592546711634
ai-forever/ruBert-large_layer_10,0.6994728046702827,0.5086292019659682
ai-forever/ruBert-large_layer_11,0.7027143200893715,0.510679882965238
ai-forever/ruBert-large_layer_12,0.7052584757222526,0.5109211395533875
ai-forever/ruBert-large_layer_13,0.7064082026765682,0.5124893073763586
ai-forever/ruBert-large_layer_14,0.7056331333362167,0.5114036527296862
ai-forever/ruBert-large_layer_15,0.7065118788608473,0.5093529717304164
ai-forever/ruBert-large_layer_16,0.70430825949326,0.5104386263770887
ai-forever/ruBert-large_layer_17,0.7080824348464336,0.510679882965238
ai-forever/ruBert-large_layer_18,0.7111752072633597,0.5156256430223007
ai-forever/ruBert-large_layer_19,0.7108704692268848,0.516349412786749
ai-forever/ruBert-large_layer_20,0.7130145365062599,0.5167112976689731
ai-forever/ruBert-large_layer_21,0.7186508424825793,0.5182794654919441
ai-forever/ruBert-large_layer_22,0.7235801591576427,0.5210539162556622
ai-forever/ruBert-large_layer_23,0.7199840287940242,0.5169525542571224
ai-forever/ruRoberta-large_layer_0,0.6410471716883155,0.47425013815467904
ai-forever/ruRoberta-large_layer_1,0.6482629313350015,0.47823087185914404
ai-forever/ruRoberta-large_layer_2,0.6660185860091257,0.4864335958562236
ai-forever/ruRoberta-large_layer_3,0.665691887235091,0.48763987879697057
ai-forever/ruRoberta-large_layer_4,0.6772650679548664,0.493068152030332
ai-forever/ruRoberta-large_layer_5,0.6805023248185412,0.49391255008885493
ai-forever/ruRoberta-large_layer_6,0.6807419042361633,0.4916206125014357
ai-forever/ruRoberta-large_layer_7,0.6560502777604558,0.4752151645072766
ai-forever/ruRoberta-large_layer_8,0.6051533207389078,0.4210530604677368
