model_layer,pearson,kendall
DeepPavlov/rubert-base-cased_layer_0,0.7581950381034058,0.5664183787125407
DeepPavlov/rubert-base-cased_layer_1,0.7711878638493197,0.5717765673243489
DeepPavlov/rubert-base-cased_layer_2,0.7742139319465576,0.5675418116721125
DeepPavlov/rubert-base-cased_layer_3,0.774848660813577,0.5752982642771299
DeepPavlov/rubert-base-cased_layer_4,0.7757656258208776,0.5788137238467396
DeepPavlov/rubert-base-cased_layer_5,0.7740579198072723,0.5783911267434675
DeepPavlov/rubert-base-cased_layer_6,0.7684646659066195,0.5750612077800545
DeepPavlov/rubert-base-cased_layer_7,0.7667122928232661,0.5755957233750322
DeepPavlov/rubert-base-cased_layer_8,0.7691958675068514,0.5723341198736048
DeepPavlov/rubert-base-cased_layer_9,0.7581320592838044,0.5674738997531836
DeepPavlov/rubert-base-cased_layer_10,0.7210864567771992,0.5563603312994994
DeepPavlov/rubert-base-cased_layer_11,0.6778492680177365,0.5334829425331354
ai-forever/ruBert-base_layer_0,0.8010142124907277,0.5779521648803938
ai-forever/ruBert-base_layer_1,0.8130469518048504,0.5839506766935668
ai-forever/ruBert-base_layer_2,0.8182582105129584,0.5875741814582162
ai-forever/ruBert-base_layer_3,0.8205523332429505,0.5910192172478907
ai-forever/ruBert-base_layer_4,0.819681175305401,0.5929713007739967
ai-forever/ruBert-base_layer_5,0.8107757176203008,0.5964328821187944
ai-forever/ruBert-base_layer_6,0.8085751196139185,0.5971647593642867
ai-forever/ruBert-base_layer_7,0.8154536654843487,0.595385888111742
ai-forever/ruBert-base_layer_8,0.8131048779377362,0.5924110195746295
ai-forever/ruBert-base_layer_9,0.8214225111648961,0.5954625341255401
ai-forever/ruBert-base_layer_10,0.8250126928074856,0.598982571100336
ai-forever/ruBert-base_layer_11,0.8190320652354577,0.5978066260444743
ai-forever/ruBert-large_layer_0,0.8006996608784238,0.5826389537043756
ai-forever/ruBert-large_layer_1,0.8085753125069421,0.5816850421379707
ai-forever/ruBert-large_layer_2,0.8137215214389011,0.5826875576606751
ai-forever/ruBert-large_layer_3,0.8109672469710574,0.5867479526112535
ai-forever/ruBert-large_layer_4,0.807726731631679,0.5868908730281891
ai-forever/ruBert-large_layer_5,0.8078376587252334,0.5878890959358989
ai-forever/ruBert-large_layer_6,0.8106977595889886,0.5883341123575356
ai-forever/ruBert-large_layer_7,0.8051740458748304,0.5904599373280877
ai-forever/ruBert-large_layer_8,0.8038747954610526,0.5935315597509686
ai-forever/ruBert-large_layer_9,0.8015444475733374,0.5923400304697385
ai-forever/ruBert-large_layer_10,0.8018690063276328,0.5916781413419644
