model_layer,pearson,kendall
DeepPavlov/rubert-base-cased_layer_0,0.4072229287519489,0.3240898005642262
DeepPavlov/rubert-base-cased_layer_1,0.4014319478973363,0.31886575679760626
DeepPavlov/rubert-base-cased_layer_2,0.4052479207600471,0.3254571799157181
DeepPavlov/rubert-base-cased_layer_3,0.3969822399838072,0.31443580094869283
DeepPavlov/rubert-base-cased_layer_4,0.4028444044908054,0.31717521884223093
DeepPavlov/rubert-base-cased_layer_5,0.39803909463979475,0.30929365221303734
DeepPavlov/rubert-base-cased_layer_6,0.3850095619710075,0.29505494755645734
DeepPavlov/rubert-base-cased_layer_7,0.37868216239665997,0.2772963841424901
DeepPavlov/rubert-base-cased_layer_8,0.3447713707163284,0.2371428065455521
DeepPavlov/rubert-base-cased_layer_9,0.31199577004033385,0.2098282618512627
DeepPavlov/rubert-base-cased_layer_10,0.2370599107349119,0.15437042154203098
DeepPavlov/rubert-base-cased_layer_11,0.18945659839258722,0.12105200988276762
ai-forever/ruBert-base_layer_0,0.4373037624241395,0.3476898104176742
ai-forever/ruBert-base_layer_1,0.43634115711297666,0.34380490906313577
ai-forever/ruBert-base_layer_2,0.43564154175215986,0.34710176664431236
ai-forever/ruBert-base_layer_3,0.4300892509093027,0.3403157061954446
ai-forever/ruBert-base_layer_4,0.4270266753359919,0.3333091160873126
ai-forever/ruBert-base_layer_5,0.41718760685317724,0.32182817186038465
ai-forever/ruBert-base_layer_6,0.41214053084403945,0.3105359553038799
ai-forever/ruBert-base_layer_7,0.40597188169695514,0.2998489633300933
ai-forever/ruBert-base_layer_8,0.38761366930112623,0.28511652282971695
ai-forever/ruBert-base_layer_9,0.3915622898120274,0.28341030061955247
ai-forever/ruBert-base_layer_10,0.3857149608469501,0.28307583680696935
ai-forever/ruBert-base_layer_11,0.3846553632113049,0.2758609745641046
ai-forever/ruBert-large_layer_0,0.4372633344992982,0.34745215730511375
ai-forever/ruBert-large_layer_1,0.4288610045737792,0.33528404526637495
ai-forever/ruBert-large_layer_2,0.4309328418066941,0.33998246549075706
ai-forever/ruBert-large_layer_3,0.4268416491552541,0.3410838697684442
ai-forever/ruBert-large_layer_4,0.41853159423274444,0.3368436657625158
ai-forever/ruBert-large_layer_5,0.4201914731347312,0.3363340084512602
ai-forever/ruBert-large_layer_6,0.4204013100007783,0.326204569390055
ai-forever/ruBert-large_layer_7,0.4046251696563703,0.30319362549774637
ai-forever/ruBert-large_layer_8,0.4041136802506371,0.298620440667976
ai-forever/ruBert-large_layer_9,0.4032557069861169,0.2974418538998259
ai-forever/ruBert-large_layer_10,0.4063740569062335,0.2973802841111114
ai-forever/ruBert-large_layer_11,0.403911315848146,0.29266274759304517
ai-forever/ruBert-large_layer_12,0.4040586275868415,0.29209043289849573
ai-forever/ruBert-large_layer_13,0.4083521149487007,0.29798336673924625
ai-forever/ruBert-large_layer_14,0.4076735551132722,0.3004042476684194
ai-forever/ruBert-large_layer_15,0.4067627518615139,0.30147351352581053
ai-forever/ruBert-large_layer_16,0.4020541044410861,0.29763297607844486
ai-forever/ruBert-large_layer_17,0.4019181435548736,0.29884556467979745
ai-forever/ruBert-large_layer_18,0.39816713196383946,0.2929186290058445
ai-forever/ruBert-large_layer_19,0.3961277349479271,0.2896376982728861
ai-forever/ruBert-large_layer_20,0.39277750600661565,0.28798337611627667
ai-forever/ruBert-large_layer_21,0.3959683849149217,0.29201079865740454
ai-forever/ruBert-large_layer_22,0.39787756340147734,0.2941768500150858
ai-forever/ruBert-large_layer_23,0.4037838431845584,0.30260215272253715
ai-forever/ruRoberta-large_layer_0,0.356475232808853,0.2754787302068667
ai-forever/ruRoberta-large_layer_1,0.3520822347457845,0.26887102087254516
ai-forever/ruRoberta-large_layer_2,0.36082238853064186,0.2772943909037466
ai-forever/ruRoberta-large_layer_3,0.358621437709974,0.2765936095821438
ai-forever/ruRoberta-large_layer_4,0.3624240269145813,0.2812761029583077
ai-forever/ruRoberta-large_layer_5,0.3643318885819775,0.2833137212897001
ai-forever/ruRoberta-large_layer_6,0.37385483469728364,0.29341236130061005
ai-forever/ruRoberta-large_layer_7,0.36732724228964075,0.28857267373629175
ai-forever/ruRoberta-large_layer_8,0.37100756125680495,0.2890027017292757
ai-forever/ruRoberta-large_layer_9,0.36320546473036924,0.2832351052891518
ai-forever/ruRoberta-large_layer_10,0.35351069233452986,0.2762292776413818
ai-forever/ruRoberta-large_layer_11,0.3395506339432551,0.2644095706951867
ai-forever/ruRoberta-large_layer_12,0.3444218732996388,0.26428120607249844
ai-forever/ruRoberta-large_layer_13,0.3529049689738616,0.2701432360537548
ai-forever/ruRoberta-large_layer_14,0.3488035622800515,0.2633583987127826
ai-forever/ruRoberta-large_layer_15,0.3486061383208653,0.2618134944356129
ai-forever/ruRoberta-large_layer_16,0.34865893676234644,0.26221355046264533
ai-forever/ruRoberta-large_layer_17,0.3522205550123353,0.2660519484740947
ai-forever/ruRoberta-large_layer_18,0.3475872367625501,0.2623231535785967
ai-forever/ruRoberta-large_layer_19,0.3473977981579337,0.26453888701729933
ai-forever/ruRoberta-large_layer_20,0.34626665489175923,0.2636938102545908
ai-forever/ruRoberta-large_layer_21,0.32784094870395936,0.24689181234225385
ai-forever/ruRoberta-large_layer_22,0.3153011217011244,0.23717466024198858
ai-forever/ruRoberta-large_layer_23,0.3082093709344469,0.2351519505182715
ai-forever/ru-en-RoSBERTa_layer_0,0.34187131360364276,0.2608260298460817
ai-forever/ru-en-RoSBERTa_layer_1,0.3433185466734604,0.25923334502425727
ai-forever/ru-en-RoSBERTa_layer_2,0.35136549550688856,0.26538301604056413
ai-forever/ru-en-RoSBERTa_layer_3,0.35616699203649316,0.2697947847093255
ai-forever/ru-en-RoSBERTa_layer_4,0.36104909305857447,0.2735515815724591
ai-forever/ru-en-RoSBERTa_layer_5,0.36520338247932094,0.27711919557334586
ai-forever/ru-en-RoSBERTa_layer_6,0.37429042141360414,0.2857993278522892
ai-forever/ru-en-RoSBERTa_layer_7,0.3759414971938694,0.28759802806244256
ai-forever/ru-en-RoSBERTa_layer_8,0.3775118978786909,0.2884421479842097
ai-forever/ru-en-RoSBERTa_layer_9,0.3776971384500742,0.2885705994422637
ai-forever/ru-en-RoSBERTa_layer_10,0.37449919890016675,0.28600637687912633
ai-forever/ru-en-RoSBERTa_layer_11,0.36197726876522096,0.2781056606403069
ai-forever/ru-en-RoSBERTa_layer_12,0.37375926781744556,0.2858152547005074
