model_layer,pearson,kendall
DeepPavlov/rubert-base-cased_layer_0,0.25776158640065655,0.24524077699876817
DeepPavlov/rubert-base-cased_layer_1,0.24872493490545045,0.2389881958966846
DeepPavlov/rubert-base-cased_layer_2,0.24664472944837407,0.23560100705142156
DeepPavlov/rubert-base-cased_layer_3,0.2489608458250876,0.23904065080376982
DeepPavlov/rubert-base-cased_layer_4,0.25360910299200584,0.2443388170836405
DeepPavlov/rubert-base-cased_layer_5,0.25388788445803756,0.2456650581569584
DeepPavlov/rubert-base-cased_layer_6,0.255168729425371,0.24767082975597718
DeepPavlov/rubert-base-cased_layer_7,0.25039718512203146,0.24792809186926967
DeepPavlov/rubert-base-cased_layer_8,0.24638897302846108,0.2471229366635016
DeepPavlov/rubert-base-cased_layer_9,0.246387124864623,0.245773331451317
DeepPavlov/rubert-base-cased_layer_10,0.2299126515663635,0.23428043211018873
DeepPavlov/rubert-base-cased_layer_11,0.21345786952911588,0.21653986100551237
ai-forever/ruBert-base_layer_0,0.3390918421420409,0.29204055487147734
ai-forever/ruBert-base_layer_1,0.33812971914947465,0.2913855363615504
ai-forever/ruBert-base_layer_2,0.3367604063576328,0.2905052697605799
ai-forever/ruBert-base_layer_3,0.3417553426469856,0.2942379867215535
ai-forever/ruBert-base_layer_4,0.34111769990053836,0.2948034703647611
ai-forever/ruBert-base_layer_5,0.34139534352713086,0.29816805225733234
ai-forever/ruBert-base_layer_6,0.33914285650809217,0.2988529283704414
ai-forever/ruBert-base_layer_7,0.34521902641945956,0.3047419931719894
ai-forever/ruBert-base_layer_8,0.3416135932750112,0.30195345467783574
ai-forever/ruBert-base_layer_9,0.34140600578178043,0.30069627076384153
ai-forever/ruBert-base_layer_10,0.34366353043116904,0.30161843486168327
ai-forever/ruBert-base_layer_11,0.33519232265801413,0.2945202802382927
ai-forever/ruBert-large_layer_0,0.34019967050477884,0.29524200925127386
ai-forever/ruBert-large_layer_1,0.3382575218682674,0.2928466176122047
ai-forever/ruBert-large_layer_2,0.33611339559086595,0.2905465112399242
ai-forever/ruBert-large_layer_3,0.3358098266739943,0.29107454566666247
ai-forever/ruBert-large_layer_4,0.3314151470594986,0.2902518521027159
ai-forever/ruBert-large_layer_5,0.33191122880911494,0.29177646985588085
ai-forever/ruBert-large_layer_6,0.3360102260703224,0.2961105534249752
ai-forever/ruBert-large_layer_7,0.3340526771388287,0.29654352391709704
ai-forever/ruBert-large_layer_8,0.33387510028964934,0.2976054950711029
ai-forever/ruBert-large_layer_9,0.3312657555375048,0.29660639215345747
ai-forever/ruBert-large_layer_10,0.3313905870474153,0.2965256638729079
ai-forever/ruBert-large_layer_11,0.33186736147683304,0.2965847825454358
ai-forever/ruBert-large_layer_12,0.33104299608031296,0.29531410885631315
ai-forever/ruBert-large_layer_13,0.3299319346144947,0.2938474204978037
ai-forever/ruBert-large_layer_14,0.33024485145808785,0.29383212823097443
ai-forever/ruBert-large_layer_15,0.329460832795058,0.2922158870545003
ai-forever/ruBert-large_layer_16,0.32808063122039555,0.2910827581798022
ai-forever/ruBert-large_layer_17,0.32687764812578946,0.2898666467039657
ai-forever/ruBert-large_layer_18,0.3275010205032453,0.2891434723183875
ai-forever/ruBert-large_layer_19,0.3262724413837499,0.28765770910470806
ai-forever/ruBert-large_layer_20,0.3257434291281778,0.286934306283794
ai-forever/ruBert-large_layer_21,0.32663207554219476,0.2868523596203676
ai-forever/ruBert-large_layer_22,0.3276710334935984,0.2870169240072811
ai-forever/ruBert-large_layer_23,0.32849926325053647,0.2871605751802996
