filename,output,pred,scores_1,score_2,score_3
chem_10,"В полевом двухфакторном опыте изучили эффективноcть иcпользования минеральных удобрений в cочетании с прямым cевом семян трав в дернину выработанного торфяника для разработки малозатратных приемов биоконверсии питательных веществ минеральных удобрений в зеленые корма. В ходе агроэкономической и энергетичеcкой оценки иcпользованных агроприемов уcтановлено, что cочетание подcева и внесения минеральных удобрений было эффективным и способствовало получению самой высокой прибыли, которая составила 24–53 тыс. руб./га, снижению себестоимости 100 к.е./га в среднем на 41–46%, повышению энергоотдачи затрат в 1.8 раза по сравнению с контролем. Наибольшая окупаемость кормовой единицы 1 кг NPK отмечена в вариантах с окультуренным удобренным фитоценозом, этот показатель вырос в среднем в 1.2–1.6 раза по сравнению с вариантами естественных фитоценозов. Учитывая показатели почвенного плодородия и окупаемоcти затрат на проведение комплекса агроприемов, сделан вывод, что оптимальной дозой минеральных удобрений в еcтественном фитоценозе (без подсева) была доза N60P90K120, в окультуренном фитоценозе – дозы N60P60K90 и N60P90K120.","Статья посвящена разработке эффективных агротехнологических приемов для повышения продуктивности выработанного мелкоконтурного торфяника. Исследование проводилось на Байгушском торфяном месторождении во Владимирской области с 2017 по 2021 год. Удобрения вносились в период весеннего отрастания трав путем поверхностного разбрасывания. Результаты показали, что применение удобрений и подсева способствовало накоплению запасов подвижных фосфора и калия в корнеобитаемом слое почвы, снижая риск деградации почвы. Применение подсева и удобрений привело к увеличению урожайности трав в 2-4 раза, а также к повышению питательной ценности зеленой массы. Энергетическая оценка показала, что наиболее эффективными дозами удобрений в естественном фитоценозе была доза N60P90K120, а в окультуренном фитоценозе - дозы N60P60K90 и N60P90K120.",4,4,5
chem_12,"Чрезмерное увлечение в овощеводстве минеральными (особенно азотными) удобрениями привело к значительному загрязнению почв и продукции нитратами, тяжелыми металлами, другими токсикантами. В научной литературе накоплен значительный материал по применению различного рода удобрений, особенно минеральных. Четко установленная в мировом масштабе тенденция к развитию органического земледелия требует более углубленного изучения влияния органических удобрений на урожайность овощей и корректировки разработанных ранее систем удобрения овощных культур. Исследования были проведены отделом земледелия и агрохимии ВНИИО – филиалом ФНЦО и тремя опытными станциями института на дерново-подзолистых, аллювиальных луговых почвах, типичных, обыкновенных и выщелоченных черноземах в Нечерноземной зоне, Северном Кавказе и Западной Сибири. Выяснено, что эффективность применения навоза КРС в среднем для 6-ти культур на 6-ти типах почв составила 33% прибавки урожайности. Наиболее высокие прибавки получены на культурах огурца (62%) и свеклы столовой (54%); капуста и морковь повышали урожайность на 27 и 22% соответственно, томат и лук – в среднем на 17%. Эффективность навоза была обратно пропорциональна величине содержания гумуса в почве. Исследования эффективности применения биокомпостов на основе куриного помета выявили, что биокомпост увеличивал урожайность 12-ти овощных культур на аллювиальной луговой почве в среднем на 20, минеральные удобрения – на 28%, совместное внесение этих удобрений позволило поднять урожайность на 35%.
 Зеленые удобрения (сидераты) в условиях ЦНЗ позволили увеличить урожайность овощей на 8–15%, наиболее эффективными оказались горох, горохоовсяная смесь и фацелия, желтый люпин и подсолнечник были малоэффективными. В орошаемых условиях Ростовской обл. комплексное применение минеральных удобрений, навоза и сидератов увеличивало урожайность овощных культур с 23.6 до 49.6 т/га, т.е. более чем в 2 раза.","Статья посвящена изучению эффективности применения различных видов удобрений в овощеводстве. Исследования проводились на дерново-подзолистых, аллювиальных луговых почвах Нечерноземной зоны, типичных черноземах Воронежской области, обыкновенных черноземах Ростовской области и выщелоченных черноземах Алтайского края. Результаты показали, что навоз КРС наиболее эффективен на слабоокультуренных дерново-подзолистых почвах, где он обеспечивает наибольшую прибавку урожайности. Однако, на окультуренных почвах и на аллювиальных луговых почвах эффективность навоза снижается. В условиях дефицита навоза и высокой засоренности полей, более перспективно использование биокомпостов и сидератов. В среднем, применение биокомпоста на основе куриного помета на аллювиальной луговой почве обеспечивает 20% прибавки урожайности, а навоз - 23%. Сидераты увеличивают урожайность овощных культур на 9-14%. В условиях выщелоченных черноземов Западной Сибири лучшими сидеральными культурами были викоовсяная и горохо-овсяная смеси.",4,4,4
chem_13,"Показана эффективность новых форм гранулированных NPK-удобрений с покрытием гранул тонкой пленкой из смесей моно- и дикальцийфосфата на дерново-подзолистой почве при выращивании яровой пшеницы. В качестве защищающих от потерь питательных элементов пленок использовали моно- и дикальцийфосфат в разных соотношениях. Химический анализ урожая, расчет выноса и коэффициентов использования растениями питательных веществ свидетельствовали о том, что наибольшей эффективностью обладало NPK-удобрение с покрытием гранул монокальцийфосфатом.","Статья посвящена исследованию эффективности различных видов покрытий для гранулированных NPK-удобрений при выращивании яровой пшеницы. Исследовались три типа покрытий: монокальцийфосфат (МКФ), дикальцийфосфат (ДКФ) и их смесь. Опыты проводились в вегетационных условиях на дерново-подзолистой почве. Результаты показали, что покрытие гранул монокальцийфосфатом способствовало увеличению урожайности зерна и соломы, а также улучшало структуру урожая. Химический анализ урожая показал, что коэффициенты использования азота из удобрений с покрытием гранул монокальцийфосфатом были выше, чем из других типов удобрений.",5,5,5
chem_16,"Представлены результаты оценки биологической эффективности комбинированного инсектицида Эфория, КС (тиаметоксам 141 г/л + лямбда-цигалотрин 106 г/л) и инсектофунгицида Вайбранс Топ, КС (тиаметоксам 262.5 г/л + флудиоксанил 25 г/л + седаксан 25 г/л) и экотоксикологические показатели этих препаратов. На основании полученных данных сделан вывод о целесообразности использования данных препаратов в системах защиты картофеля от колорадского жука в соответствии с установленными регламентами применения при условии наличия данных препаратов в “Государственном каталоге пестицидов и агрохимикатов, разрешенных к применению на территории Российской Федерации”.",Статья посвящена исследованию эффективности применения новых комбинированных препаратов для защиты картофеля от колорадского жука. В 2019 и 2020 годах были проведены полевые исследования биологической эффективности комбинированного инсектицида Эфория и инсектофунгицида Вайбранс Топ. Оба препарата показали высокую эффективность в борьбе с колорадским жуком.,5,5,5
chem_17,"Для оптимизации экологического состояния почв вольеров Ростовского-на-Дону зоопарка в качестве мелиорирующих веществ использовали органические вещества (древесные опилки, солому, листовой опад, хвою, торф, подсолнечную лузгу, древесный уголь), синтетический регулятор влажности (гидрогель “Акватерра”), минеральные адсорбенты и разбавители (глауконитовый песок, диатомит, вермикулит, агроперлит, цеолит), биопрепараты (“Тамир”, гумат калия, “Байкал ЭМ)”, а также сочетание гумата калия и древесных опилок). Наилучшие результаты получены при внесении древесных опилок в дозах 5 и 10% от массы почвы. При этом интенсифицировались биологические процессы в почве, что повышало ее способность к самоочищению от продуктов метаболизма животных. Внесенные опилки минерализовались с сильным увеличением эмиссии углекислого газа. Содержание органического углерода в почве при этом к концу опыта (через 6 мес.) практически не изменялось.","Статья посвящена проблеме воздействия животных на почву в условиях зоопарка. Авторы отмечают, что в зоопарках, где животные содержатся в ограниченных пространствах, происходит нарушение равновесия и развитие патогенной микрофлоры. Они подчеркивают важность диагностики состояния почвы в таких условиях. В статье описывается метод мелиорации почв вольеров Ростовского зоопарка, который включает использование древесных опилок. В результате проведенных исследований было установлено, что внесение древесных опилок в почву способствует улучшению ее биологической активности и способности к самоочищению.",3,4,4
chem_2,"Оценили содержание цитокининов, ауксинов, хлорофилла, транспирацию, содержание и относительное содержание воды, водный и осмотический потенциалы, гидравлическую проводимость, морфологические параметры растений твердой пшеницы (Triticum durum Desf.) после введения в их ризосферу штаммов цитокининпродуцирующих (Bacillus subtilis IB-22) или ауксинпродуцирующих (Pseudomonas mandelii IB-Кi14) бактерий. Эксперименты проводили в лабораторных условиях в сосудах с агрочерноземом при оптимальном уровне освещенности. Показано, что цитокининпродуцирующий штамм в большей степени стимулировал рост растений, накопление хлорофилла, увеличение транспирации по сравнению с растениями, обработанными ауксинпродуцирующим штаммом. Растения под влиянием штамма B. subtilis IB-22 теряли больше воды при транспирации, при этом снижения уровня оводненности и тургора не происходило. Сделан вывод о том, что “бактериальные цитокинины” влияют на водный обмен растений пшеницы за счет увеличения гидравлической проводимости, а “бактериальные ауксины” – в большей степени за счет осмотической регуляции. Более выраженную стимуляцию роста растений бактериями штамма B. subtilis IB-22 можно объяснить также способностью цитокининов в большей степени влиять на содержание хлорофилла по сравнению с ауксинами.","Статья посвящена изучению влияния ризосферных микроорганизмов на рост и водный обмен растений пшеницы в зависимости от их способности продуцировать ауксины или цитокинины. В эксперименте использовались штаммы бактерий Bacillus subtilis IB-22 и Pseudomonas mandelii IB-Кi14. Результаты показали, что оба штамма бактерий стимулировали рост растений, но цитокининпродуцирующие бактерии оказывали более выраженное положительное влияние на рост и водный обмен растений пшеницы.",4,5,5
chem_21,"Установлено, что почва агроценоза с длительным дефицитным балансом калия и магния фиксировала 60–70% калия, внесенного с удобрением, и 20–30% магния. При положительном балансе этих элементов в агроценозе фиксация почвой калия снижалась до 40, а магния – до 6–10%. Внесение возрастающих доз калийного удобрения не отражалось на почвенном уровне содержания обменного магния, использование магниевых удобрений не изменяло содержание в почве обменного калия. Совместное использование умеренных доз калийных и магниевых удобрений способствовало снижению фиксации калия на 10–16% по сравнению с раздельным его внесением, интенсивность фиксации магния при этом не изменялась. При повышенных дозах калия его фиксация почвой не зависела от дополнительного внесения магния, а фиксация магния существенно снижалась.
","В статье рассматриваются процессы трансформации почвенных форм калия и магния, а также их фиксация и мобилизация. Фиксация калия и магния почвой зависит от минералогического и гранулометрического состава почвы, величины рН, содержания органического вещества, внесенной дозы удобрения, гидротермического режима и других факторов. Взаимодействие калия и магния при поглощении растениями может быть антагонистическим или синергетическим. В статье также рассматривается влияние доз удобрений на фиксацию калия и магния почвой.",3,3,4
chem_22,"Изучили использование сидеральных бинарных смесей 2-х сортов гречихи между собой, а также с соей и подсолнечником на активность целлюлозоразрушающих бактерий (ЦРБ) и содержание гумуса в пахотном и подпахотном горизонтах типичных тяжелосуглинистых черноземов. Показано, что применение для сидерации смешанных агросообществ по сравнению с чистыми посевами культур позволяет значительно увеличить численность агрономически ценной микрофлоры и содержание гумуса. Наиболее существенно возросла активность ЦРБ и увеличилось содержание гумуса как в пахотном, так и в подпахотном горизонтах, а также произошло увеличение урожайности зерновых культур под влиянием агроценотического эффекта в посевах бинарных сидеральных смесей гречихи сорта Крылатая и гречихи сорта Деметра с подсолнечником. Между продуктивностью сидератов, урожайностью зерновых культур и активностью ЦРБ в почве как пахотного, так и подпахотного горизонтов были установлены связи, достоверные при 5%-ном уровне значимости. Зависимости между показателями урожая и содержанием гумуса в почвах оказались менее выражены и в большинстве случаев были недостоверными. Установленная между величинами активности ЦРБ и содержания гумуса тесная зависимость позволила заключить, что чем больше активность ЦРБ, тем выше качество исследованных почв.","Статья посвящена изучению влияния сидератов на плодородие и фитосанитарное состояние почв. Авторы отмечают, что использование сидератов может значительно улучшить состояние почв, подверженных деградации и истощению. Они подчеркивают важность активизации полезной микрофлоры в почвах для повышения плодородия и улучшения фитосанитарного состояния. В статье также упоминается о повышении активности микроорганизмов в почвах при использовании сидератов. Исследования показали, что использование смеси экологически и аллелопатически совместимых культур для сидерации может привести к более значительному улучшению свойств почв, включая микробиологические процессы. Также отмечается, что биологическая активность почвы является одной из важнейших характеристик интенсивности микробиологических процессов.",4,4,4
chem_24,"Ранее с помощью квадрупольного масс-спектрометра МС7-200 разработки ИАП РАН в составе летучих органических соединений (ЛОС), выделяемых в воздушную среду энтомопатогенными грибами (ЭПГ) рода Lecanicillium, был обнаружен диоксид серы. В данной работе оценили влияние этого соединения на таких опасных фитофагов как западный цветочный трипс Frankliniella occidentalis и персиковая тля Myzus persicae в низких дозах, соответствующих содержанию диоксида серы в составе ЛОС над растущим мицелием грибов. Установлено, что диоксид серы не оказывал негативного влияния на самок трипса F. occidentalis и их плодовитость при введении в виалы сернистого газа в концентрации 9 и 17 ppm и выдерживании в течение 2-х ч. В дозе 33 ppm диоксид серы вызывал 10%-ную смертность самок трипса через 2 ч и 15.4%-ную – через 1 сут, при этом наблюдали снижение плодовитости самок на 36%. Диоксид серы в концентрациях 17–33 ppm был нетоксичен для самок персиковой тли через 2 ч. Смертность тлей на уровне 26% была отмечена через 2 сут при концентрации диоксида серы 33 ppm, при этом плодовитость снизилась на 22%. В дозе 23 ppm диоксид серы снижал плодовитость тлей наиболее существенно – на 30%. Полученные данные свидетельствуют о влиянии диоксида серы, содержащегося в составе ЛОС грибов, на поведенческие реакции фитофагов.","Статья посвящена исследованию влияния летучих органических соединений (ЛОС), выделяемых энтомопатогенными грибами рода Lecanicillium, на поведение насекомых. ЛОС могут обладать репеллентными или аттрактивными свойствами, проявлять антифидантное действие, обладать токсичностью и изменять плодовитость. Исследования показали, что мицелий разных видов и штаммов грибов рода Lecanicillium вызывает различные поведенческие реакции у насекомых: от репеллентности до аттрактивности. Диоксид серы, обнаруженный в составе ЛОС, обладает слабым токсическим действием на западного цветочного трипса и персиковую тлю. В дозе 33 ppm он вызывал смертность 15.4% имаго трипса и 26% персиковой тли через 1 сут, при этом наблюдали тенденцию к снижению плодовитости самок обоих вредителей.",4,5,5
chem_25,"В полевых опытах на опытном поле ВНИИСС проведены испытания различных комбинаций гербицидов против малолетних двудольных сорняков в посеве сахарной свеклы в условиях 2018–2020 гг., включавшие препараты: Бетанал максПро (БМП), Бетанал Эксперт ОФ (БЭОФ), Бетанал 22, Митрон, Карибу. Исследована эффективность химической прополки в зависимости от возраста сорняков и нормы расхода препаратов. Показано, что наиболее высокая эффективность химической прополки (98–100%) в сочетании с низкой фитотоксичностью для сахарной свеклы была обеспечена при обработке наименьшими (из рекомендуемых) нормами расхода препаратов в ранних фазах развития сорняков: семядолей–1-й пары настоящих листьев. Задержка с обработкой гербицидом увеличивала неоднородность сорняков по фазе развития и снижала эффективность химической прополки посева. Сахарная свекла особенно в ранних фазах развития испытывала стресс после внесения гербицидов в течение от 6-ти до 14-ти сут. Продолжительность стресса зависела от дозы гербицида, условий среды, фазы развития сахарной свеклы. При избыточном внесении гербицидов растения сахарной свеклы были подвержены более длительной депрессии. Формирование продуктивных показателей сахарной свеклы зависело от условий погоды, эффективности комбинации гербицидов на сорняки и токсикологической нагрузки ими на растения культуры. Применение максимально допустимых и повышенных норм расхода гербицидов по переросшим сорнякам на всех этапах химической прополки создавало предпосылки для снижения продуктивных показателей сахарной свеклы. В опытах, где применяли относительно “жесткие” схемы гербицидов расчетный сбор сахара снижался на 0.64–1.01 т/га.","Исследование проводилось в 1997-1999 годах на территории России. Целью исследования было изучение влияния гербицидов на рост и развитие сахарной свеклы, а также на урожайность культуры.",2,2,2
